g.NS.time   S1.L        Mass.xloc   
0.01        9.00032145  9.00032145  
0.02        9.00160614  9.00160614  
0.03        9.00417201  9.00417201  
0.04        9.00801412  9.00801412  
0.05        9.01312712  9.01312712  
0.06000000  9.01950530  9.01950530  
0.07        9.02714253  9.02714253  
0.08        9.03603231  9.03603231  
0.09        9.04616776  9.04616776  
0.09999999  9.05754161  9.05754161  
0.10999999  9.07014623  9.07014623  
0.11999999  9.08397361  9.08397361  
0.12999999  9.09901537  9.09901537  
0.13999999  9.11526277  9.11526277  
0.15        9.13270673  9.13270673  
0.16        9.15133777  9.15133777  
0.17        9.17114610  9.17114610  
0.18000000  9.19212157  9.19212157  
0.19000000  9.21425367  9.21425367  
0.20000000  9.23753159  9.23753159  
0.21000000  9.26194414  9.26194414  
0.22000000  9.28747985  9.28747985  
0.23000000  9.31412688  9.31412688  
0.24000000  9.34187310  9.34187310  
0.25000000  9.37070606  9.37070606  
0.26000000  9.40061299  9.40061299  
0.27000000  9.43158083  9.43158083  
0.28000000  9.46359622  9.46359622  
0.29000000  9.49664548  9.49664548  
0.30000000  9.53071469  9.53071469  
0.31000000  9.56578961  9.56578961  
0.32000000  9.60185572  9.60185572  
0.33000000  9.63889825  9.63889825  
0.34000000  9.67690215  9.67690215  
0.35000000  9.71585212  9.71585212  
0.36000000  9.75573260  9.75573260  
0.37000000  9.79652776  9.79652776  
0.38000000  9.83822157  9.83822157  
0.39000000  9.88079772  9.88079772  
0.40000000  9.92423970  9.92423970  
0.41000000  9.96853075  9.96853075  
0.42000000  10.0136539  10.0136539  
0.43000000  10.0595920  10.0595920  
0.44000000  10.1063276  10.1063276  
0.45000000  10.1538432  10.1538432  
0.46000000  10.2021209  10.2021209  
0.47000000  10.2511429  10.2511429  
0.48000000  10.3008909  10.3008909  
0.49000000  10.3513467  10.3513467  
0.50000000  10.4024917  10.4024917  
0.51000000  10.4543072  10.4543072  
0.52000000  10.5067745  10.5067745  
0.53000000  10.5598747  10.5598747  
0.54000000  10.6135885  10.6135885  
0.55000000  10.6678968  10.6678968  
0.56000000  10.7227802  10.7227802  
0.57000000  10.7782192  10.7782192  
0.58000000  10.8341941  10.8341941  
0.59000000  10.8906854  10.8906854  
0.60000000  10.9476731  10.9476731  
0.61000000  11.0051374  11.0051374  
0.62000000  11.0630582  11.0630582  
0.63000000  11.1214154  11.1214154  
0.64000000  11.1801889  11.1801889  
0.65000000  11.2393585  11.2393585  
0.66000000  11.2989039  11.2989039  
0.67000000  11.3588047  11.3588047  
0.68000000  11.4190405  11.4190405  
